SKU,"Return Quantity 
(Last 7 days)","Return Quantity 
(Last 30 days)","Return Quantity 
(Last 60 days)","Return Quantity 
(Last 90 days)"
MN-01,0,9,18,26
MN-02,0,4,14,24
MN-03,1,4,10,13
MN-04,1,4,6,16
MN-09,0,2,7,11
MN-08,0,3,4,6
MN-10,2,9,11,19
MN-11,3,6,8,10
MN-12,4,13,17,24
MN-13,2,4,11,16
MN-14,23,79,112,145
MN-15,16,44,79,111
MN-16,2,10,23,31
MN-17,-,2,6,15
MN-18,6,18,40,53
MN-19,7,24,40,59
MN-20,8,22,51,81
MN-21,7,25,38,51
MN-22,8,21,32,45
MN-23,7,22,44,66
MN-24,0,8,34,43
MN-25,21,73,126,167
MN-26,12,30,99,119
MN-27,8,21,34,50
MN-28,11,45,101,137
MN-29,16,72,142,237
MN-30,1,8,20,33
MN-31,2,7,15,29
MN-32,11,16,21,28
MN-33,3,13,24,28
MN-34,6,14,21,44
MN-35,2,8,20,28
MN-36,6,36,68,96
MN-37,5,9,18,24
MN-38,1,21,42,67
MN-39,12,4,7,10
MN-40,9,38,63,98
MN-41,7,12,28,57
MN-42,5,28,48,83
MN-43,3,5,12,16
MN-44,2,7,11,17
MN-48,1,1,2,7
MN-49,1,7,14,27
MN-45,1,3,11,15
MN-46,1,3,8,11
MN-47,1,10,11,17
MN-50,0,10,18,25
MN-07,1,4,8,15
MN-05,2,4,4,6
MN-06,1,2,3,3