SKU,Sessions - Total,Units Ordered,Conversion_Rate,Revenue_per_Session,Traffic_Level,Demand_Level,Pricing_Action,Low_Conversion_Flag,High_Demand_Flag,Demand_CV
MN-01,20.880434782608695,6.380434782608695,0.33851128607521586,14.344180655702816,Medium,High,Increase Price,False,True,0.546316976498906
MN-02,21.67058823529412,5.070588235294117,0.2479447382413639,9.08956159646942,Medium,Medium,Hold,True,False,0.7083237363233461
MN-03,11.012820512820513,2.5128205128205128,0.26724966289876284,10.506878177676624,Low,Low,Hold,True,False,0.7662782058527847
MN-04,8.162162162162161,2.581081081081081,0.4201470804411981,13.113314510424805,Low,Low,Hold,False,False,0.7340045767350263
MN-05,27.0,4.802816901408451,0.23687245418950303,5.953501295943385,High,Medium,Review / Reduce Price,True,False,1.0953340800391196
MN-06,11.957446808510639,2.6382978723404253,0.275498675510636,4.4004286154282015,Low,Low,Hold,True,False,0.7347393256579681
MN-07,23.26923076923077,3.0256410256410255,0.1489085007768213,5.749643409027138,High,Low,Review / Reduce Price,True,False,0.6188392794145433
MN-08,6.222222222222222,1.5925925925925926,0.29622188511077396,8.729345793095794,Low,Low,Hold,True,False,0.7022213193706865
MN-09,9.363636363636363,1.4727272727272727,0.25525326392506,4.1562447752162655,Low,Low,Hold,True,False,0.5822718075991438
MN-10,17.944444444444443,3.1944444444444446,0.17570695638053713,3.891992837580559,Medium,Low,Hold,True,False,0.698286500167514
MN-11,22.303797468354432,2.9873417721518987,0.1650517077898592,3.356186283004679,High,Low,Review / Reduce Price,True,False,0.7886882796668233
MN-12,23.448275862068964,4.045977011494253,0.17341600002206503,3.9878999661603265,High,Medium,Review / Reduce Price,True,False,0.7452117022381627
MN-13,43.787234042553195,5.148936170212766,0.1588882641923748,4.326424572371741,Very High,High,Review / Reduce Price,True,False,0.7388390090649362
MN-14,39.64545454545455,12.718181818181819,0.45978173842787223,14.077349570340493,Very High,Very High,Hold,False,False,0.858031986850309
MN-15,109.6,25.042105263157893,0.23969727375323707,6.012338439017487,Very High,Very High,Review / Reduce Price,True,False,0.5004547061276287
MN-16,28.770833333333332,5.104166666666667,0.2171871230654193,5.027679315485052,High,High,Review / Reduce Price,True,False,0.6925180337870479
MN-17,36.1978021978022,8.373626373626374,0.24720904183119813,7.550665068298382,Very High,High,Review / Reduce Price,True,False,0.8374065689727914
MN-18,30.341176470588234,9.635294117647058,0.3215158929374476,9.093475768941099,High,High,Increase Price,False,True,0.6298455520055345
MN-19,66.83687943262412,11.666666666666666,0.23350626112616724,10.3979960280623,Very High,Very High,Review / Reduce Price,True,False,0.80051732544536
MN-20,72.64492753623189,11.978260869565217,0.26946326051493846,4.390648892722522,Very High,Very High,Review / Reduce Price,True,False,0.7904911683734951
MN-21,46.632183908045974,6.7011494252873565,0.15030244060349748,3.481826310618896,Very High,High,Review / Reduce Price,True,False,0.6469236655834224
MN-22,34.651685393258425,8.112359550561798,0.2368389966100506,5.481331103178203,High,High,Review / Reduce Price,True,False,0.6449391365247481
MN-23,31.36082474226804,6.814432989690721,0.2648474551123741,3.5914736912741434,High,High,Review / Reduce Price,True,False,0.6422222502947446
MN-24,42.329896907216494,4.938144329896907,0.15661077936622933,3.792700087292368,Very High,Medium,Review / Reduce Price,True,False,0.714658889443162
MN-25,101.25274725274726,49.13186813186813,0.4744585970240803,17.226534824904217,Very High,Very High,Increase Price,False,True,0.5588125172038173
MN-26,23.717391304347824,18.07608695652174,0.8593633351001316,28.393515544035,High,Very High,Hold,False,False,0.8201121368481198
MN-27,22.195402298850574,14.448275862068966,0.6204593946463086,18.481511672775085,Medium,Very High,Increase Price,False,True,0.6315929450051868
MN-28,45.91208791208791,27.252747252747252,0.5944766134570265,16.108905986834245,Very High,Very High,Increase Price,False,True,0.4811254621336632
MN-29,45.604395604395606,16.692307692307693,0.3759228331031646,8.883243734033044,Very High,Very High,Increase Price,False,True,0.4671012034378682
MN-30,29.623655913978496,7.397849462365591,0.2724817181335286,10.031488066337914,High,High,Review / Reduce Price,True,False,0.9384521465828279
MN-31,13.55813953488372,4.127906976744186,0.34586569545205875,10.84369282776317,Medium,Medium,Increase Price,False,True,0.6697015610477616
MN-32,13.329411764705883,6.270588235294118,0.5514159042164553,15.804365000931817,Medium,High,Increase Price,False,True,0.5851139536391817
MN-33,11.884615384615385,4.9743589743589745,0.4159604418110402,11.127779357697506,Low,Medium,Hold,False,False,1.1006027455125251
MN-34,17.88888888888889,11.122222222222222,0.6536060305417666,22.445917667100538,Medium,High,Increase Price,False,True,0.6681964293660555
MN-35,12.369047619047619,4.964285714285714,0.4502925387326647,15.47951444548733,Low,Medium,Hold,False,False,0.780135736319535
MN-36,83.0990099009901,22.326732673267326,0.3851695387224701,14.267498992546328,Very High,Very High,Increase Price,False,True,0.6828609781941257
MN-37,13.203125,3.9375,0.4128264794165529,13.01815758567838,Low,Medium,Hold,False,False,0.8305361638242786
MN-38,52.043010752688176,16.967741935483872,0.37910558525193194,12.500083169813959,Very High,Very High,Increase Price,False,True,0.6076752061236539
MN-39,11.329268292682928,3.4390243902439024,0.3338767695872885,9.640963980461029,Low,Low,Hold,False,False,0.8670563483294643
MN-40,19.633333333333333,9.811111111111112,0.5156669654088962,13.453339175886851,Medium,High,Increase Price,False,True,0.6689611545156429
MN-41,22.733333333333334,17.92222222222222,0.768299610108138,59.1565269435082,High,Very High,Increase Price,False,True,0.6917221306890928
MN-42,22.10112359550562,14.235955056179776,0.6429392843418235,46.12451151734846,Medium,Very High,Hold,False,False,0.7156548647467148
MN-43,18.972972972972972,2.7972972972972974,0.17471365243278614,2.567762470404882,Medium,Low,Hold,True,False,0.6427153029517563
MN-44,14.6,2.076923076923077,0.1732128062111926,2.2192661905415454,Medium,Low,Hold,True,False,0.6499314092753854
MN-45,10.658227848101266,4.531645569620253,0.447063080389371,15.234766133081523,Low,Medium,Hold,False,False,1.2924480923427857
MN-46,9.265625,2.703125,0.32710572847291597,9.147521858349982,Low,Low,Hold,False,False,1.0076021268842679
MN-47,8.246753246753247,3.9740259740259742,0.5530078327156249,42.632945245771545,Low,Medium,Hold,False,False,0.7862293499323126
MN-48,10.013333333333334,3.84,0.4597722982212146,40.07749837753692,Low,Low,Hold,False,False,0.7917833454794808
MN-49,26.397590361445783,4.578313253012048,0.19034086223042426,6.4423291544767505,High,Medium,Review / Reduce Price,True,False,0.7074530597630656
MN-50,21.464285714285715,4.2976190476190474,0.20795017718017453,6.361101365004655,Medium,Medium,Hold,True,False,0.7911685189262464
